id,path,predicted_sentence,error_message,error_type
0,1036-12.wav,"21 yildan buyon qamoqda saqlanayotgan Murod Jo'rayevni qamoqxonada ko'rib qaytgan rafiqasiga ko'ra, uning sog'lig'i o'ta yomonlashgan.",,
1,1001-38.wav,"Birmada, Xalqaro ""Chegara bilmas shifokorlar"" xariya tashkilotining aksariyat kasalxonalari qayta ochilgan.",,
2,1002-56.wav,O'zbekiston nima qila oladi? Global koronavirus pandemiyasi manzarasida bugun xuddi shu savol yana kun tartibiga chiqqan.,,
3,1054-101.wav,"Bir oydirki, O'zbekistonda Facebook va YouTube VPNsiz ishlamoqda.",,
4,1066-84.wav,"Kaliforniyalik Ketti Marreyga ko'ra, u eri bilan turmushini unga itoat qilish yo'li orqali saqlab qolgan.",,
5,1033-68.wav,"Bugun Belarus poytaxtida ""Normandiya to'rtligi"" deb atalayotgan Fransiya, Olmoniya, Ukraina va Rossiya rahbarlari ishtirokidagi sammit bo'lib o'tishi kutilmoqda.",,
6,1049-39.wav,Kattaqo'rg'onda bir nechta militsiya xodimi qip-yalang'och qilib yechintirib xorlagan ayolning gaplari qaysi haqiqatni ochmoqda?,,
7,1056-07.wav,Xitoydan tarqalgan koronavirus 4-mart sanasigacha 3200 inson umriga zomin bo'lgani xabar qilindi va dunyoning 81 mamlakatida odamlarga yuqqani aniqlandi.,,
8,1024-41.wav,"14 yillik qamoqdan so'ng shu yil aprelida ozodlikka chiqarilgan taniqli adib, Muhammadali Mahmudov o'zining ozod etilish tafsilotlari haqida ilk bor BBCga gapirdi.",,
9,1059-09.wav,"Yevropa Ittifoqining tashqi ishlar bo'yicha vakili Katrin Ashtonning jurnalistlarga aytishicha, Ukraina Prezidenti Viktor Yanukovich va nihoyat Yevropa Ittifoqi bilan kelishuv bitimini imzolashi mumkin.",,
10,1023-28.wav,"Polsha-Belarus chegarasidagi vaziyat yanada tanglashgan. Polshaning o'q, Belarusning gaz bilan qo'rqitishi ish bermagan.",,
11,1002-65.wav,"Xabarlarga ko'ra, Tolibonning ikki taniqli yetakchisi qattiq tortishgan. Tortishganlardan biri harakatning ham asoschisi, Qatardagi siyosiy idorasi rahbari va muvaqqat bosh vaziri muovini Mulla Abdulg'ani Barodar Axund bo'lgan.",,
12,1052-62.wav,"Moskva va Novosibirsk aeroportlarida bir necha kunlab qolayotgan o'zbekistonliklarga huquq himoyachilari, Rossiyadagi elchixona va konsulliklar, migratsiya agentligi vakillari va ko'ngillilar oziq-ovqat yetkazishda, huquqiy maslahatlar, boshpana va boshqa turli ko'maklarni berishmoqda.",,
13,1038-66.wav,Rim papasi Fransisk Turkiyaga safarining ikkinchi kunida Istanbulga borgan.,,
