id,path,type,duration,text_cyrillic,text_latin,text_spt,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,word_count
0,1002-56.wav,train,14.3094375,Ўзбекистон нима қила олади? - Глобал коронавирус пандемияси манзарасида бугун худди шу савол яна кун тартибига чиққан:,O'zbekiston nima qila oladi? - Global koronavirus pandemiyasi manzarasida bugun xuddi shu savol yana kun tartibiga chiqqan:,O'zbekiston nima qila oladi? Global koronavirus pandemiyasi manzarasida bugun xuddi shu savol yana kun tartibiga chiqqan.,o'zbekiston nima qila oladi global koronavirus pandemiyasi manzarasida bugun xuddi shu savol yana kun tartibiga chiqqan,o'zbekiston nima qila oladi global koronavirus pandemiyasi manzarasida bugun xuddi shu savol yana kun tartibiga chiqqan,0.0,0.0,1.0,16,16,17
2,1056-07.wav,train,19.010875,Хитойдан тарқалган коронавирус 4 март санасигача 3200 инсон умрига зомин бўлгани хабар қилинди ва дунёнинг 81 мамлакатида одамларга юққани аниқланди.,Xitoydan tarqalgan koronavirus 4-mart sanasigacha 3200 inson umriga zomin bo'lgani xabar qilindi va dunyoning 81 mamlakatida odamlarga yuqqani aniqlandi.,Xitoydan tarqalgan koronavirus 4-mart sanasigacha 3200 inson umriga zomin bo'lgani xabar qilindi va dunyoning 81 mamlakatida odamlarga yuqqani aniqlandi.,xitoydan tarqalgan koronavirus to'rtinchi mart sanasigacha uch ming ikki yuz inson umriga zomin bo'lgani xabar qilindi va dunyoning sakson bir mamlakatida odamlarga yuqqani aniqlandi,xitoydan tarqalgan koronavirus to'rtinchi mart sanasigacha uch ming ikki yuz inson umriga zomin bo'lgani xabar qilindi va dunyoning sakson bir mamlakatida odamlarga yuqqani aniqlandi,0.0,0.0,1.0,24,24,20
3,1033-68.wav,train,16.3093125,"Бугун Беларус пойтахтида ""нормандия тўртлиги"" деб аталаётган Франция, Олмония, Украина ва Россия раҳбарлари иштирокидаги саммит бўлиб ўтиши кутилмоқда.","Bugun Belarus poytaxtida ""normandiya to'rtligi"" deb atalayotgan Fransiya, Olmoniya, Ukraina va Rossiya rahbarlari ishtirokidagi sammit bo'lib o'tishi kutilmoqda.","Bugun Belarus poytaxtida ""Normandiya to'rtligi"" deb atalayotgan Fransiya, Olmoniya, Ukraina va Rossiya rahbarlari ishtirokidagi sammit bo'lib o'tishi kutilmoqda.",bugun belarus poytaxtida normandiya to'rtligi deb atalayotgan fransiya olmoniya ukraina va rossiya rahbarlari ishtirokidagi sammit bo'lib o'tishi kutilmoqda,bugun belarus poytaxtida normandiya to'rtligi deb atalayotgan fransiya olmoniya ukraina va rossiya rahbarlari ishtirokidagi sammit bo'lib o'tishi kutilmoqda,0.0,0.0,1.0,18,18,18
8,1052-62.wav,train,25.54,"Москва ва Новосибирск аэропортларида бир неча кунлаб қолаётган ўзбекистонликларга ҳуқуқ ҳимоячилари, Россиядаги элчихона ва консулликлар, миграция агентлиги вакиллари ва кўнгиллилар озиқ-овқат етказишда, ҳуқуқий маслаҳатлар, бошпана ва бошқа турли кўмакларни беришмоқда.","Moskva va Novosibirsk aeroportlarida bir necha kunlab qolayotgan o'zbekistonliklarga huquq himoyachilari, Rossiyadagi elchixona va konsulliklar, migratsiya agentligi vakillari va ko'ngillilar oziq-ovqat yetkazishda, huquqiy maslahatlar, boshpana va boshqa turli ko'maklarni berishmoqda.","Moskva va Novosibirsk aeroportlarida bir necha kunlab qolayotgan o'zbekistonliklarga huquq himoyachilari, Rossiyadagi elchixona va konsulliklar, migratsiya agentligi vakillari va ko'ngillilar oziq-ovqat yetkazishda, huquqiy maslahatlar, boshpana va boshqa turli ko'maklarni berishmoqda.",moskva va novosibirsk aeroportlarida bir necha kunlab qolayotgan o'zbekistonliklarga huquq himoyachilari rossiyadagi elchixona va konsulliklar migratsiya agentligi vakillari va ko'ngillilar oziq-ovqat yetkazishda huquqiy maslahatlar boshpana va boshqa turli ko'maklarni berishmoqda,moskva va novosibirsk aeroportlarida bir necha kunlab qolayotgan o'zbekistonliklarga huquq himoyachilari rossiyadagi elchixona va konsulliklar migratsiya agentligi vakillari va ko'ngillilar oziq-ovqat yetkazishda huquqiy maslahatlar boshpana va boshqa turli ko'maklarni berishmoqda,0.0,0.0,1.0,30,30,30
9,1054-101.wav,train,8.5139375,"Бир ойдирки, Ўзбекистонда Facebook ва YouTube VPNсиз ишламоқда.","Bir oydirki, O'zbekistonda Facebook va YouTube VPNsiz ishlamoqda.","Bir oydirki, O'zbekistonda Facebook va YouTube VPNsiz ishlamoqda.",bir oydirki o'zbekistonda facebook va youtube vpnsiz ishlamoqda,bir oydirki o'zbekistonda facebook va youtube vpnsiz ishlamoqda,0.0,0.0,1.0,8,8,8
10,1036-12.wav,train,13.4789375,"21 йилдан буён қамоқда сақланаётган Мурод Жўраевни қамоқхонада кўриб қайтган рафиқасига кўра, унинг соғлиғи ўта ёмонлашган.","21 yildan buyon qamoqda saqlanayotgan Murod Jo'rayevni qamoqxonada ko'rib qaytgan rafiqasiga ko'ra, uning sog'lig'i o'ta yomonlashgan.","21 yildan buyon qamoqda saqlanayotgan Murod Jo'rayevni qamoqxonada ko'rib qaytgan rafiqasiga ko'ra, uning sog'lig'i o'ta yomonlashgan.",yigirma bir yildan buyon qamoqda saqlanayotgan murod jo'rayevni qamoqxonada ko'rib qaytgan rafiqasiga ko'ra uning sog'lig'i o'ta yomonlashgan,yigirma bir yildan buyon qamoqda saqlanayotgan murod jo'rayevni qamoqxonada ko'rib qaytgan rafiqasiga ko'ra uning sog'lig'i o'ta yomonlashgan,0.0,0.0,1.0,17,17,16
12,1023-28.wav,train,12.342125,"Польша-Беларусь чегарасидаги вазият янада танглашган. Польшанинг ўқ, Беларуснинг газ билан қўрқитиши иш бермаган.","Polsha-Belarus chegarasidagi vaziyat yanada tanglashgan. Polshaning o'q, Belarusning gaz bilan qo'rqitishi ish bermagan.","Polsha-Belarus chegarasidagi vaziyat yanada tanglashgan. Polshaning o'q, Belarusning gaz bilan qo'rqitishi ish bermagan.",polsha-belarus chegarasidagi vaziyat yanada tanglashgan polshaning o'q belarusning gaz bilan qo'rqitishi ish bermagan,polsha-belarus chegarasidagi vaziyat yanada tanglashgan polshaning o'q belarusning gaz bilan qo'rqitishi ish bermagan,0.0,0.0,1.0,13,13,13
13,1044-20.wav,train,15.2208125,"Хабарларга кўра, расмий Бишкек Туркия Миллий Жосуслик идораси зобитлари томонидан Қирғизистон ҳудудида амалга оширилган ҳибсга расман ўз эътирозини билдирган.","Xabarlarga ko'ra, rasmiy Bishkek Turkiya Milliy Josuslik idorasi zobitlari tomonidan Qirg'iziston hududida amalga oshirilgan hibsga rasman o'z e'tirozini bildirgan.","Xabarlarga ko'ra, rasmiy Bishkek Turkiya milliy josuslik idorasi zobitlari tomonidan Qirg'iziston hududida amalga oshirilgan hibsga rasman o'z e'tirozini bildirgan.",xabarlarga ko'ra rasmiy bishkek turkiya milliy josuslik idorasi zobitlari tomonidan qirg'iziston hududida amalga oshirilgan hibsga rasman o'z e'tirozini bildirgan,xabarlarga ko'ra rasmiy bishkek turkiya milliy josuslik idorasi zobitlari tomonidan qirg'iziston hududida amalga oshirilgan hibsga rasman o'z e'tirozini bildirgan,0.0,0.0,1.0,19,19,19
14,1014-29.wav,train,13.6060625,"Бошловчилардан бирининг айтганидек, бу платформа уларга ўзларини ""реклама қилиш"" учун ажойиб имконият эди.","Boshlovchilardan birining aytganidek, bu platforma ularga o'zlarini ""reklama qilish"" uchun ajoyib imkoniyat edi.","Boshlovchilardan birining aytganidek, bu platforma ularga o'zlarini reklama qilish uchun ajoyib imkoniyat edi.",boshlovchilardan birining aytganidek bu platforma ularga o'zlarini reklama qilish uchun ajoyib imkoniyat edi,boshlovchilardan birining aytganidek bu platforma ularga o'zlarini reklama qilish uchun ajoyib imkoniyat edi,0.0,0.0,1.0,13,13,13
15,1032-107.wav,train,16.439125,"Кўплаб турли давлатлар Ислом қонунчилиги асосида бошқарилади, аммо шариат ҳукми остида яшаш турли давлатларда турлича кўриниш олади.","Ko'plab turli davlatlar Islom qonunchiligi asosida boshqariladi, ammo shariat hukmi ostida yashash turli davlatlarda turlicha ko'rinish oladi.","Ko'plab turli davlatlar islom qonunchiligi asosida boshqariladi, ammo shariat hukmi ostida yashash turli davlatlarda turlicha ko'rinish oladi.",ko'plab turli davlatlar islom qonunchiligi asosida boshqariladi ammo shariat hukmi ostida yashash turli davlatlarda turlicha ko'rinish oladi,ko'plab turli davlatlar islom qonunchiligi asosida boshqariladi ammo shariat hukmi ostida yashash turli davlatlarda turlicha ko'rinish oladi,0.0,0.0,1.0,17,17,17
