id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
0,00003.wav,00003_augmented_spd_nse.wav,9.05,9.2888,True,0.9743,False,False,False,AugmentationType.SPEED|NOISE
1,00003.wav,00003_augmented_pch_msk.wav,9.05,9.05,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
2,00139.wav,00139_augmented_spd_nse.wav,13.6587,14.5276,True,0.9402,False,False,False,AugmentationType.SPEED|NOISE
3,00139.wav,00139_augmented_pch_msk.wav,13.6587,13.6587,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
4,00140.wav,00140_augmented_spd_nse.wav,16.1227,17.3074,True,0.9316,False,True,False,AugmentationType.SPEED|NOISE
5,00140.wav,00140_augmented_pch_msk.wav,16.1227,16.1227,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
6,00187.wav,00187_augmented_spd_nse.wav,13.4774,12.3121,True,1.0946,False,True,False,AugmentationType.SPEED|NOISE
7,00187.wav,00187_augmented_pch_msk.wav,13.4774,13.4774,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
8,00189.wav,00189_augmented_spd_nse.wav,12.1914,12.992,True,0.9384,False,False,False,AugmentationType.SPEED|NOISE
9,00189.wav,00189_augmented_pch_msk.wav,12.1914,12.1914,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
10,00221.wav,00221_augmented_spd_nse.wav,14.7787,16.0254,True,0.9222,False,True,False,AugmentationType.SPEED|NOISE
11,00221.wav,00221_augmented_pch_msk.wav,14.7787,14.7787,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
12,00230.wav,00230_augmented_spd_nse.wav,18.2047,19.133,True,0.9515,False,True,False,AugmentationType.SPEED|NOISE
13,00230.wav,00230_augmented_pch_msk.wav,18.2047,18.2047,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
14,00284.wav,00284_augmented_spd_nse.wav,14.288,14.0479,True,1.0171,False,True,False,AugmentationType.SPEED|NOISE
15,00284.wav,00284_augmented_pch_msk.wav,14.288,14.288,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
16,00290.wav,00290_augmented_spd_nse.wav,13.68,12.4996,True,1.0944,False,False,False,AugmentationType.SPEED|NOISE
17,00290.wav,00290_augmented_pch_msk.wav,13.68,13.68,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
18,00291.wav,00291_augmented_spd_nse.wav,17.9274,18.6132,True,0.9632,False,False,False,AugmentationType.SPEED|NOISE
19,00291.wav,00291_augmented_pch_msk.wav,17.9274,17.9274,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
20,00315.wav,00315_augmented_spd_nse.wav,18.14,17.5949,True,1.031,False,True,False,AugmentationType.SPEED|NOISE
21,00315.wav,00315_augmented_pch_msk.wav,18.14,18.14,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
22,00340.wav,00340_augmented_spd_nse.wav,14.75,14.7637,True,0.9991,False,True,False,AugmentationType.SPEED|NOISE
23,00340.wav,00340_augmented_pch_msk.wav,14.75,14.75,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
24,00355.wav,00355_augmented_spd_nse.wav,12.368,13.6464,True,0.9063,False,False,False,AugmentationType.SPEED|NOISE
25,00355.wav,00355_augmented_pch_msk.wav,12.368,12.368,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
26,00369.wav,00369_augmented_spd_nse.wav,7.984,7.4167,True,1.0765,False,True,False,AugmentationType.SPEED|NOISE
27,00369.wav,00369_augmented_pch_msk.wav,7.984,7.984,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
28,00403.wav,00403_augmented_spd_nse.wav,14.8427,16.3924,True,0.9055,False,True,False,AugmentationType.SPEED|NOISE
29,00403.wav,00403_augmented_pch_msk.wav,14.8427,14.8427,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
30,00411.wav,00411_augmented_spd_nse.wav,19.1094,18.1809,True,1.0511,False,True,False,AugmentationType.SPEED|NOISE
31,00411.wav,00411_augmented_pch_msk.wav,19.1094,19.1094,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
32,00417.wav,00417_augmented_spd_nse.wav,8.95,9.4401,True,0.9481,False,False,False,AugmentationType.SPEED|NOISE
33,00417.wav,00417_augmented_pch_msk.wav,8.95,8.95,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
34,00502.wav,00502_augmented_spd_nse.wav,15.28,14.1493,True,1.0799,False,True,False,AugmentationType.SPEED|NOISE
35,00502.wav,00502_augmented_pch_msk.wav,15.28,15.28,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
36,00598.wav,00598_augmented_spd_nse.wav,18.5547,19.0588,True,0.9735,False,True,False,AugmentationType.SPEED|NOISE
37,00598.wav,00598_augmented_pch_msk.wav,18.5547,18.5547,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
38,00600.wav,00600_augmented_spd_nse.wav,18.16,18.5969,True,0.9765,False,True,False,AugmentationType.SPEED|NOISE
39,00600.wav,00600_augmented_pch_msk.wav,18.16,18.16,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
40,00617.wav,00617_augmented_spd_nse.wav,18.4054,17.8523,True,1.031,False,False,False,AugmentationType.SPEED|NOISE
41,00617.wav,00617_augmented_pch_msk.wav,18.4054,18.4054,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
42,00629.wav,00629_augmented_spd_nse.wav,13.76,14.7312,True,0.9341,False,False,False,AugmentationType.SPEED|NOISE
43,00629.wav,00629_augmented_pch_msk.wav,13.76,13.76,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
44,00664.wav,00664_augmented_spd_nse.wav,10.896,11.6206,True,0.9376,False,True,False,AugmentationType.SPEED|NOISE
45,00664.wav,00664_augmented_pch_msk.wav,10.896,10.896,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
46,00667.wav,00667_augmented_spd_nse.wav,15.568,15.1755,True,1.0259,False,True,False,AugmentationType.SPEED|NOISE
47,00667.wav,00667_augmented_pch_msk.wav,15.568,15.568,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
48,00668.wav,00668_augmented_spd_nse.wav,6.5867,6.2756,True,1.0496,False,False,False,AugmentationType.SPEED|NOISE
49,00668.wav,00668_augmented_pch_msk.wav,6.5867,6.5867,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
50,00673.wav,00673_augmented_spd_nse.wav,12.2934,11.8211,True,1.04,False,True,False,AugmentationType.SPEED|NOISE
51,00673.wav,00673_augmented_pch_msk.wav,12.2934,12.2934,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
52,00690.wav,00690_augmented_spd_nse.wav,15.91,16.7654,True,0.949,False,True,False,AugmentationType.SPEED|NOISE
53,00690.wav,00690_augmented_pch_msk.wav,15.91,15.91,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
54,00720.wav,00720_augmented_spd_nse.wav,10.8214,11.9573,True,0.905,False,False,False,AugmentationType.SPEED|NOISE
55,00720.wav,00720_augmented_pch_msk.wav,10.8214,10.8214,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
56,00726.wav,00726_augmented_spd_nse.wav,5.9893,5.6711,True,1.0561,False,True,False,AugmentationType.SPEED|NOISE
57,00726.wav,00726_augmented_pch_msk.wav,5.9893,5.9893,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
58,00729.wav,00729_augmented_spd_nse.wav,18.8214,20.1352,True,0.9347,False,True,False,AugmentationType.SPEED|NOISE
59,00729.wav,00729_augmented_pch_msk.wav,18.8214,18.8214,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
60,00733.wav,00733_augmented_spd_nse.wav,15.46,16.4986,True,0.937,False,False,False,AugmentationType.SPEED|NOISE
61,00733.wav,00733_augmented_pch_msk.wav,15.46,15.46,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
62,00825.wav,00825_augmented_spd_nse.wav,13.5307,15.0299,True,0.9003,False,True,False,AugmentationType.SPEED|NOISE
63,00825.wav,00825_augmented_pch_msk.wav,13.5307,13.5307,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
64,00829.wav,00829_augmented_spd_nse.wav,18.2814,16.6416,True,1.0985,False,True,False,AugmentationType.SPEED|NOISE
65,00829.wav,00829_augmented_pch_msk.wav,18.2814,18.2814,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
66,00863.wav,00863_augmented_spd_nse.wav,14.3607,13.7863,True,1.0417,False,False,False,AugmentationType.SPEED|NOISE
67,00863.wav,00863_augmented_pch_msk.wav,14.3607,14.3607,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
68,00873.wav,00873_augmented_spd_nse.wav,8.304,7.6811,True,1.0811,False,False,False,AugmentationType.SPEED|NOISE
69,00873.wav,00873_augmented_pch_msk.wav,8.304,8.304,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
70,00882.wav,00882_augmented_spd_nse.wav,19.4613,19.8249,True,0.9817,False,True,False,AugmentationType.SPEED|NOISE
71,00882.wav,00882_augmented_pch_msk.wav,19.4613,19.4613,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
72,00928.wav,00928_augmented_spd_nse.wav,5.744,5.4986,True,1.0446,False,False,False,AugmentationType.SPEED|NOISE
