id,client_id,path,sentence_id,up_votes,down_votes,age,gender,type,duration,word_count,speaker_trust_score,sentence,predicted_sentence,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,path_wav,sentence_checked
205,d96a4d15b77903680f65b285601cb56a3e71032688be388354e706e5f62ae6abbe0a6bdd3e3403954ebe0a446dd5f3d402fc0d98bbbd404cba3c7248e695945d,common_voice_uz_29200873.mp3,ec05973aafb027645b129aaf671f5197ff81251d684027d1f55536af4d161f99,0,0,twenties,male_masculine,other,9.576,13,0.8776,"Rivojlanayotgan mamlakatlarda mablag'lari yetmasligi muammosini hal qilishda, rivojlangan mamlakatlar hatto tekinga vaksinani tarqatmoqdalar.",Rivojlanayotgan mamlakatlarda mablag'lar yetmasligi muammosini hal qilishda rivojlangan mamlakatlar hatto tekinga vaksinani tarqatmoqdalar.,rivojlanayotgan mamlakatlarda mablag'lari yetmasligi muammosini hal qilishda rivojlangan mamlakatlar hatto tekinga vaksinani tarqatmoqdalar,rivojlanayotgan mamlakatlarda mablag'lar yetmasligi muammosini hal qilishda rivojlangan mamlakatlar hatto tekinga vaksinani tarqatmoqdalar,0.0769,0.0072,0.9964,13,13,common_voice_uz_29200873.wav,"Rivojlanayotgan mamlakatlarda mablag'lar yetmasligi muammosini hal qilishda, rivojlangan mamlakatlar hatto tekinga vaksinani tarqatmoqdalar."
3282,76d4e6cb6bd0b457141b2a8db898f5f8fa9c56dd64ca989a5f5b4f13223e11d1b3a8d8b7feaa48a2763b3bc0f337bc5632a460a15aa4dc3026a9b598ae5f8d30,common_voice_uz_35683496.mp3,86e1d923237549323dbbb27aa40d20c9e02f91cc37c17ab64b2e7616bef57109,0,0,twenties,female_feminine,other,9.288,14,0.7735,"Jumladan, jurnalist Nurgeldi Xoliqov, shifokor Xursanoy Ismatullayeva va faol Gulgeldi Annaniyozovni ozod qilishga chaqirilgan","Jumladan, jurnalist Nurgeldi Xoliqov, shifokor Xursandoy Ismatullayeva va faol Gulgeldi Annaniyozovni ozod qilishga chaqirilgan.",jumladan jurnalist nurgeldi xoliqov shifokor xursanoy ismatullayeva va faol gulgeldi annaniyozovni ozod qilishga chaqirilgan,jumladan jurnalist nurgeldi xoliqov shifokor xursandoy ismatullayeva va faol gulgeldi annaniyozovni ozod qilishga chaqirilgan,0.0714,0.0081,0.996,14,14,common_voice_uz_35683496.wav,"Jumladan, jurnalist Nurgeldi Xoliqov, shifokor Xursanoy Ismatullayeva va faol Gulgeldi Annaniyozovni ozod qilishga chaqirilgan"
1320,d77267d07b10c4fbcae247b6cc9640dbcf3f506e247bd95695100880a706a742663b6ecea742fd9b3e3e7286c827ee598c42cb55a9601d51c53cad807cc8dcb6,common_voice_uz_30673667.mp3,103ed48de393e06e665367fe641fad1326affd71b61e9e113ee55a90d7c36b5b,1,0,twenties,male_masculine,other,9.0,12,0.8652,"Ta'kidlanishicha, aviakompaniya tegishli ruxsatnomalarni olmasdan, charter parvozlari uchun aviachiptalar sotuvini tashkil etgan","Ta'kidlanishicha, aviakompaniya tegishli ruxsatnomalarni olmasdan charter parvozlari uchun avia chiptalar sotuvini tashkil etgan.",ta'kidlanishicha aviakompaniya tegishli ruxsatnomalarni olmasdan charter parvozlari uchun aviachiptalar sotuvini tashkil etgan,ta'kidlanishicha aviakompaniya tegishli ruxsatnomalarni olmasdan charter parvozlari uchun avia chiptalar sotuvini tashkil etgan,0.1667,0.0079,0.996,12,13,common_voice_uz_30673667.wav,"Ta'kidlanishicha, aviakompaniya tegishli ruxsatnomalarni olmasdan, charter parvozlari uchun avia chiptalar sotuvini tashkil etgan"
485,2d69db1539ed9b96d6595b04376247cab6deb1d8210257672fa9628a25707dd29e006eba53c2cc8900c163210e0e1b31ef27ec322995dc2e2911cd8a29a20b3c,common_voice_uz_30086985.mp3,b16fcbda3bc80a25bcce66e3f7520df08798699835de1c054970db695aa42862,0,1,teens,male_masculine,other,9.036,13,0.7726,Navqiron avlod ongu shuuridagi intilishlarni ro'yobga chiqarish uchun yoshlarning imkoniyatlarini kengaytirishimiz juda muhim.,Navqiron avlod ongu shuuridagi intilishlarini ro'yobga chiqarish uchun yoshlarning imkoniyatlarini kengaytirishimiz juda muhim.,navqiron avlod ongu shuuridagi intilishlarni ro'yobga chiqarish uchun yoshlarning imkoniyatlarini kengaytirishimiz juda muhim,navqiron avlod ongu shuuridagi intilishlarini ro'yobga chiqarish uchun yoshlarning imkoniyatlarini kengaytirishimiz juda muhim,0.0769,0.008,0.996,13,13,common_voice_uz_30086985.wav,Navqiron avlod ongu shuuridagi intilishlarni ro'yobga chiqarish uchun yoshlarning imkoniyatlarini kengaytirishimiz juda muhim.
900,bc69c744bf0f8464394b0554f6d87cc8e1bb9286bf3d13bf8492d0b48c3da997198a0f90a9fb9d7390d2bde284907bf6750dca97b9cd2d1195f51874358d334d,common_voice_uz_30262526.mp3,789680e303c41742d9dcec866b2d7d5d3abf2ef0814a2245ddca533e324290eb,0,0,teens,male_masculine,other,8.856,13,0.7333,"Odamni keksalikka tayyorlab boruvchi oliyjanob hayot bizni nimjonlikka boshlamaydi. Aksincha, bu umrboqiylikning boshlanishidir.","Odamni keksalikka tayyorlab boruvchi olijanob hayot bizni nimjonlikka boshlamaydi, aksincha bu umrboqiylikning boshlanishidir.",odamni keksalikka tayyorlab boruvchi oliyjanob hayot bizni nimjonlikka boshlamaydi aksincha bu umrboqiylikning boshlanishidir,odamni keksalikka tayyorlab boruvchi olijanob hayot bizni nimjonlikka boshlamaydi aksincha bu umrboqiylikning boshlanishidir,0.0769,0.008,0.996,13,13,common_voice_uz_30262526.wav,"Odamni keksalikka tayyorlab boruvchi oliyjanob hayot bizni nimjonlikka boshlamaydi. Aksincha, bu umrboqiylikning boshlanishidir."
2385,bd78ebd2c6242ceb4521dddf551be725a08a37ffaf894b5b00920c4812d93393074f26f5b407fc44fb8ecbca6b4c8b851f96adc7d833ef2c4d31a9ecc15d9c31,common_voice_uz_32194156.mp3,5552bd472b4dbf8ae1038bb437beaaeeb93e25cba7562c6159ebb21eece5bcc1,0,0,twenties,male_masculine,other,8.928,13,0.8894,Qashqadaryo viloyatining sobiq hokimi Zoyir Mirzayev respublikaning boshqa viloyatiga rahbar etib tayinlanishi kutilmoqda.,Qashqadaryo viloyatining sobiq hokimi Zoir Mirzayev respublikaning boshqa viloyatiga rahbar etib tayinlanishi kutilmoqda.,qashqadaryo viloyatining sobiq hokimi zoyir mirzayev respublikaning boshqa viloyatiga rahbar etib tayinlanishi kutilmoqda,qashqadaryo viloyatining sobiq hokimi zoir mirzayev respublikaning boshqa viloyatiga rahbar etib tayinlanishi kutilmoqda,0.0769,0.0083,0.9959,13,13,common_voice_uz_32194156.wav,Qashqadaryo viloyatining sobiq hokimi Zoyir Mirzayev respublikaning boshqa viloyatiga rahbar etib tayinlanishi kutilmoqda.
2258,05897ef2148d331548591615467f1065d6289019daaa55d802836e7b2153b01d86464b870b63cad66c9c5fc5819c4282b05831c1c8ac363e429b586388c6d32b,common_voice_uz_32118206.mp3,4dc24963951d608e443366461abc7a04e6689fd8e2cdf55af8a7c970a9b0d800,0,0,twenties,male_masculine,other,8.208,12,0.5795,Shimoliy koreyalik xakerlar koronavirusga qarshi vaksina ishlab chiqaradigan kompaniyaga kiberhujum uyushtirishga urindi,Shimoliy koreyalik xakerlar koronavirusga qarshi vaktsina ishlab chiqaradigan kompaniyaga kiberhujum uyushtirishga urindi.,shimoliy koreyalik xakerlar koronavirusga qarshi vaksina ishlab chiqaradigan kompaniyaga kiberhujum uyushtirishga urindi,shimoliy koreyalik xakerlar koronavirusga qarshi vaktsina ishlab chiqaradigan kompaniyaga kiberhujum uyushtirishga urindi,0.0833,0.0083,0.9959,12,12,common_voice_uz_32118206.wav,Shimoliy koreyalik xakerlar koronavirusga qarshi vaksina ishlab chiqaradigan kompaniyaga kiberhujum uyushtirishga urindi
2851,ab983926d766e8755ec9acee1360c9dbdfd31315c1a9f5aa5f78cdaf7c016a894c0d9620f9f14fdf0432cc32445a0337b9c8965b4e863d9ce5446f6c7c1b8db8,common_voice_uz_33390826.mp3,6fa9ca672aa80d2038d540233b3e03ed938f1a16843234168adb033f18904a01,0,0,,,other,8.748,14,0.8511,"Yo'lda ketayotganlar darrov har yoqqa alanglab, pullari tushib qolmaganini tekshirish uchun cho'ntaklarini tita boshladilar.","Yo'lda ketayotganlari darrov har yoqqa alanglab, pullari tushib qolmaganini tekshirish uchun cho'ntaklarini tita boshladilar.",yo'lda ketayotganlar darrov har yoqqa alanglab pullari tushib qolmaganini tekshirish uchun cho'ntaklarini tita boshladilar,yo'lda ketayotganlari darrov har yoqqa alanglab pullari tushib qolmaganini tekshirish uchun cho'ntaklarini tita boshladilar,0.0714,0.0082,0.9959,14,14,common_voice_uz_33390826.wav,"Yo'lda ketayotganlarida darrov har yoqqa alanglab, pullari tushib qolmaganini tekshirish uchun cho'ntaklarini tita boshladilar."
1146,7e9b68c4074c459c33b883ddaa47cf507eb789dbdd8e4555c906daef016ba4a6454274b88ae1114fed7613e56c91bae91945868def255feca938a056b5a243ed,common_voice_uz_30432195.mp3,038cff20f6eb37b6a8af74bbfaecee02a666d1b00dcd741be7513eaaff7cd877,1,0,,,other,8.748,12,0.8157,Prezident maslahatchisi o'rinbosari Shuhrat Atabayevning Xalq banki boshqaruvi raisi lavozimiga tayinlangani tasdiqlandi,Prezident maslahatchisi o'rinbosari Shuhrat Atabayevning Xalq banki boshqaruv raisi lavozimiga tayinlangani tasdiqlandi.,prezident maslahatchisi o'rinbosari shuhrat atabayevning xalq banki boshqaruvi raisi lavozimiga tayinlangani tasdiqlandi,prezident maslahatchisi o'rinbosari shuhrat atabayevning xalq banki boshqaruv raisi lavozimiga tayinlangani tasdiqlandi,0.0833,0.0083,0.9958,12,12,common_voice_uz_30432195.wav,Prezident maslahatchisi o'rinbosari Shuhrat Atabayevning Xalq banki boshqaruvi raisi lavozimiga tayinlangani tasdiqlandi
2684,5e9d66fd13a1afa26fd1363b33522b231192f0e96a5dd33c8f6e290918eb07e73370a59786e6a66a2ea732c286915c4a44a2150fc757097d04c7905ef9d7ddcf,common_voice_uz_32954051.mp3,641bd1da87abac040112b7b50a8eea38effacff18511ecd70575bd7e35544fcb,0,0,teens,male_masculine,other,8.208,13,0.7536,Xorazm hududiy elektr tarmoqlari Yangibozor tuman elektr ta'minoti korxonasining yangi binosi foydalanishga topshirildi,"Xorazm hududiy elektr tarmoqlari, Yangibozor tumani elektr ta'minoti korxonasining yangi binosi foydalanishga topshirildi.",xorazm hududiy elektr tarmoqlari yangibozor tuman elektr ta'minoti korxonasining yangi binosi foydalanishga topshirildi,xorazm hududiy elektr tarmoqlari yangibozor tumani elektr ta'minoti korxonasining yangi binosi foydalanishga topshirildi,0.0769,0.0084,0.9958,13,13,common_voice_uz_32954051.wav,Xorazm hududiy elektr tarmoqlari Yangibozor tuman elektr ta'minoti korxonasining yangi binosi foydalanishga topshirildi
