id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
0,00000007.wav,00000007_augmented_spd_nse.wav,7.65,7.9078,True,0.9674,False,True,False,AugmentationType.SPEED|NOISE
1,00000007.wav,00000007_augmented_pch_msk.wav,7.65,7.65,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
2,00000007.wav,00000007_augmented_spd_pch_nse.wav,7.65,8.1473,True,0.939,True,True,False,AugmentationType.SPEED|PITCH|NOISE
3,00000007.wav,00000007_augmented_spd_pch_msk.wav,7.65,8.1472,True,0.939,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
4,00000062.wav,00000062_augmented_spd_nse.wav,9.968,9.7736,True,1.0199,False,False,False,AugmentationType.SPEED|NOISE
5,00000062.wav,00000062_augmented_pch_msk.wav,9.968,9.968,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
6,00000062.wav,00000062_augmented_spd_pch_nse.wav,9.968,9.4969,True,1.0496,True,False,False,AugmentationType.SPEED|PITCH|NOISE
7,00000062.wav,00000062_augmented_spd_pch_msk.wav,9.968,10.1837,True,0.9788,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
8,00000071.wav,00000071_augmented_spd_nse.wav,3.2587,3.2633,True,0.9986,False,True,False,AugmentationType.SPEED|NOISE
9,00000071.wav,00000071_augmented_pch_msk.wav,3.2587,3.2587,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
10,00000071.wav,00000071_augmented_spd_pch_nse.wav,3.2587,3.3548,True,0.9714,True,False,False,AugmentationType.SPEED|PITCH|NOISE
11,00000071.wav,00000071_augmented_spd_pch_msk.wav,3.2587,3.5855,True,0.9089,True,False,True,AugmentationType.SPEED|PITCH|TIME_MASK
12,00000114.wav,00000114_augmented_spd_nse.wav,4.9014,4.8559,True,1.0094,False,False,False,AugmentationType.SPEED|NOISE
13,00000114.wav,00000114_augmented_pch_msk.wav,4.9014,4.9014,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
14,00000114.wav,00000114_augmented_spd_pch_nse.wav,4.9014,5.0416,True,0.9722,True,True,False,AugmentationType.SPEED|PITCH|NOISE
