path,chunk_path,duration,chunk_index
00004290.wav,00004290_0.wav,22.52,0
00004293.wav,00004293_0.wav,18.68,0
00004289.wav,00004289_0.wav,10.67,0
00004289.wav,00004289_1.wav,14.26,1
00004288.wav,00004288_0.wav,27.08,0
00004291.wav,00004291_0.wav,13.71,0
00004291.wav,00004291_1.wav,8.92,1
00004286.wav,00004286_0.wav,23.14,0
00004285.wav,00004285_0.wav,26.0,0
00004292.wav,00004292_0.wav,27.97,0
00004294.wav,00004294_0.wav,8.09,0
00004294.wav,00004294_1.wav,7.96,1
00004297.wav,00004297_0.wav,20.36,0
00004299.wav,00004299_0.wav,8.62,0
00004299.wav,00004299_1.wav,10.9,1
00004299.wav,00004299_2.wav,5.76,2
00004302.wav,00004302_0.wav,6.74,0
00004302.wav,00004302_1.wav,18.6,1
00004298.wav,00004298_0.wav,28.49,0
00004300.wav,00004300_0.wav,27.91,0
00004301.wav,00004301_0.wav,28.48,0
00004304.wav,00004304_0.wav,20.24,0
00004304.wav,00004304_1.wav,7.42,1
00004305.wav,00004305_0.wav,27.04,0
00004308.wav,00004308_0.wav,19.06,0
00004311.wav,00004311_0.wav,20.07,0
00004310.wav,00004310_0.wav,21.67,0
00004306.wav,00004306_0.wav,23.48,0
00004307.wav,00004307_0.wav,25.21,0
00004312.wav,00004312_0.wav,19.62,0
00004312.wav,00004312_1.wav,4.47,1
00004309.wav,00004309_0.wav,27.43,0
00004313.wav,00004313_0.wav,19.62,0
00004313.wav,00004313_1.wav,5.0,1
00004315.wav,00004315_0.wav,19.98,0
00004314.wav,00004314_0.wav,21.22,0
00004317.wav,00004317_0.wav,10.64,0
00004317.wav,00004317_1.wav,9.71,1
00004318.wav,00004318_0.wav,26.34,0
00004316.wav,00004316_0.wav,9.22,0
00004316.wav,00004316_1.wav,13.59,1
00004316.wav,00004316_2.wav,5.23,2
00004320.wav,00004320_0.wav,24.29,0
00004319.wav,00004319_0.wav,27.69,0
00004323.wav,00004323_0.wav,26.59,0
00004321.wav,00004321_0.wav,26.52,0
00004324.wav,00004324_0.wav,8.21,0
00004324.wav,00004324_1.wav,15.3,1
00004329.wav,00004329_0.wav,13.9,0
00004329.wav,00004329_1.wav,9.64,1
00004325.wav,00004325_0.wav,22.28,0
00004330.wav,00004330_0.wav,24.89,0
00004326.wav,00004326_0.wav,10.73,0
00004326.wav,00004326_1.wav,16.4,1
00004327.wav,00004327_0.wav,20.67,0
00004331.wav,00004331_0.wav,12.06,0
00004331.wav,00004331_1.wav,15.08,1
00004332.wav,00004332_0.wav,26.71,0
00004335.wav,00004335_0.wav,17.91,0
00004334.wav,00004334_0.wav,8.72,0
00004334.wav,00004334_1.wav,13.32,1
00004339.wav,00004339_0.wav,27.9,0
00004337.wav,00004337_0.wav,25.83,0
00004340.wav,00004340_0.wav,9.79,0
00004340.wav,00004340_1.wav,14.55,1
00004338.wav,00004338_0.wav,12.65,0
00004338.wav,00004338_1.wav,12.01,1
00004341.wav,00004341_0.wav,22.52,0
00004344.wav,00004344_0.wav,19.89,0
00004345.wav,00004345_0.wav,21.63,0
00004343.wav,00004343_0.wav,27.55,0
00004348.wav,00004348_0.wav,5.66,0
00004348.wav,00004348_1.wav,17.41,1
00004350.wav,00004350_0.wav,13.75,0
00004347.wav,00004347_0.wav,22.64,0
00004349.wav,00004349_0.wav,26.27,0
00004346.wav,00004346_0.wav,28.49,0
00004351.wav,00004351_0.wav,6.05,0
00004351.wav,00004351_1.wav,17.3,1
00004353.wav,00004353_0.wav,20.28,0
00004352.wav,00004352_0.wav,26.7,0
00004357.wav,00004357_0.wav,14.69,0
00004357.wav,00004357_1.wav,7.37,1
