id,path,text_spt,text_original,ref_normalized,hyp_normalized,wer,sequence_similarity,duration,sentence_checked
942,00007611.wav,"xalq dushmaniga ham chiqarib yuborardida, ya'ni siz siyosatni faqat davlatni olib sotish mumkin bo'lgan, davlatni qilgan ishi har doim davlat zo'r boshqaruvchi emas, ichida siz bir qanaqadir","xalq dushmaniga ham chiqarib yuborar edi-da, ya'ni siz siyosatda faqat davlat olib sotish mumkin bo'lgan. Davlatni qilgan ishi har doim davlat zo'r boshqaruvchi emas. Ichida siz bir qanaqadir",xalq dushmaniga ham chiqarib yuborardida ya'ni siz siyosatni faqat davlatni olib sotish mumkin bo'lgan davlatni qilgan ishi har doim davlat zo'r boshqaruvchi emas ichida siz bir qanaqadir,xalq dushmaniga ham chiqarib yuborar edi-da ya'ni siz siyosatda faqat davlat olib sotish mumkin bo'lgan davlatni qilgan ishi har doim davlat zo'r boshqaruvchi emas ichida siz bir qanaqadir,0.1481,0.976,12.5386875,"xalq dushmaniga ham chiqarib yuborardida, ya'ni siz siyosatni faqat davlatni olib sotish mumkin bo'lgan, davlatni qilgan ishi har doim davlat zo'r boshqaruvchi emas, ichida siz bir qanaqadir"
250,00001766.wav,"Sherali Jo'rayev nomini qoralamaslikni iltimos qilaman. Ukalarimni ham nomini qoralamaslikni iltimos qilaman. Bu oilaviy masala, biz o'zimiz kelishib olamiz. Insof bersin hammaga. Men hech narsani isbot qilmoqchi emasman, men onamni shanini himoya qilmoqchiman xolos.","Sherali Jo'rayev nomini qoralamasligini iltimos qilaman. Ukalarimni ham nomini qoralamasligini iltimos qilaman. Bu oilaviy masala, biz o'zimiz kelishib olamiz. Insof bersin hammaga. Men hech narsani isbot qilmoqchi emasman. Men onamni sha'nini himoya qilmoqchiman, xolos.",sherali jo'rayev nomini qoralamaslikni iltimos qilaman ukalarimni ham nomini qoralamaslikni iltimos qilaman bu oilaviy masala biz o'zimiz kelishib olamiz insof bersin hammaga men hech narsani isbot qilmoqchi emasman men onamni shanini himoya qilmoqchiman xolos,sherali jo'rayev nomini qoralamasligini iltimos qilaman ukalarimni ham nomini qoralamasligini iltimos qilaman bu oilaviy masala biz o'zimiz kelishib olamiz insof bersin hammaga men hech narsani isbot qilmoqchi emasman men onamni sha'nini himoya qilmoqchiman xolos,0.0882,0.3901,17.061375,"Sherali Jo'rayev nomini qoralamaslikni iltimos qilaman. Ukalarimni ham nomini qoralamaslikni iltimos qilaman. Bu oilaviy masala, biz o'zimiz kelishib olamiz. Insof bersin hammaga. Men hech narsani isbot qilmoqchi emasman, men onamni shanini himoya qilmoqchiman xolos."
653,00005015.wav,"so'ng albatta yana ko'rishamiz va ma'lum bir savollarimizga bugun javob ololmagan bo'lsak ham, aynan keyingi intervyumizda bizni tomosha qilayotganlarga batafsil ma'lumotlarni taqdim etamiz. Rahmat.","undan soʻng albatta yana koʻrishamiz va maʼlum bir savollarimizga bugun javob ololmagan boʻlsak ham, aynan keyingi intervyuyimizda bizni tomosha qilayotganlarga batafsil maʼlumotlarni taqdim etamiz. Rahmat.",so'ng albatta yana ko'rishamiz va ma'lum bir savollarimizga bugun javob ololmagan bo'lsak ham aynan keyingi intervyumizda bizni tomosha qilayotganlarga batafsil ma'lumotlarni taqdim etamiz rahmat,undan so'ng albatta yana ko'rishamiz va ma'lum bir savollarimizga bugun javob ololmagan bo'lsak ham aynan keyingi intervyuyimizda bizni tomosha qilayotganlarga batafsil ma'lumotlarni taqdim etamiz rahmat,0.0833,0.9799,17.5935,"so'ng albatta yana ko'rishamiz va ma'lum bir savollarimizga bugun javob ololmagan bo'lsak ham, aynan keyingi intervyumizda bizni tomosha qilayotganlarga batafsil ma'lumotlarni taqdim etamiz. Rahmat."
1387,00010899.wav,"Mana shu 10-15 000 dollar hattoki 20 000 dollargacha bo'lgan segmentdagi avtomobillarni importi bularni qo'rquvga solishni boshlagan. Bozorni yo'qotyapti va u o'zi umuman O'zbekistonda avtomobil sanoatini 2017-yildan keyingi dinamikasini ko'radigan bo'lsangiz,","mana shu 10 15 000 dollar hatto 20 000 dollargacha boʻlgan segmentdagi avtomobillarni importi bularni qoʻrquvga solishni boshlagan. Bozorni yoʻqotyapti va oʻzi umuman Oʻzbekistonda avtomobil sanoatini 2017-yildan keyingi dinamikasini koʻradigan boʻlsangiz,",mana shu o'n-o'n besh ming dollar hattoki yigirma ming dollargacha bo'lgan segmentdagi avtomobillarni importi bularni qo'rquvga solishni boshlagan bozorni yo'qotyapti va u o'zi umuman o'zbekistonda avtomobil sanoatini ikki ming o'n yettinchi yildan keyingi dinamikasini ko'radigan bo'lsangiz,mana shu o'n o'n besh ming dollar hatto yigirma ming dollargacha bo'lgan segmentdagi avtomobillarni importi bularni qo'rquvga solishni boshlagan bozorni yo'qotyapti va o'zi umuman o'zbekistonda avtomobil sanoatini ikki ming o'n yettinchi yildan keyingi dinamikasini ko'radigan bo'lsangiz,0.1111,0.8997,18.5866875,"Mana shu 10-15 000 dollar hattoki 20 000 dollargacha bo'lgan segmentdagi avtomobillarni importi bularni qo'rquvga solishni boshlagan. Bozorni yo'qotyapti va u o'zi umuman O'zbekistonda avtomobil sanoatini 2017-yildan keyingi dinamikasini ko'radigan bo'lsangiz,"
1678,00013064.wav,Shu nuqtai nazardan biz mana shu nam havo oqimini oldingi prognozlarimizda chigit ekish muddatini optimal muddatini belgilashda mana shu nam havo oqimini o'tib ketishini biz rejalashtirib,"shu nuqtai nazardan biz mana shu nam havo oqimini oldin oldingi prognozlarimizda chigit ekish muddatini, optimal muddatini belgilashda mana shu nam havo oqimini o'tib ketishini biz rejalashtirib,",shu nuqtai nazardan biz mana shu nam havo oqimini oldingi prognozlarimizda chigit ekish muddatini optimal muddatini belgilashda mana shu nam havo oqimini o'tib ketishini biz rejalashtirib,shu nuqtai nazardan biz mana shu nam havo oqimini oldin oldingi prognozlarimizda chigit ekish muddatini optimal muddatini belgilashda mana shu nam havo oqimini o'tib ketishini biz rejalashtirib,0.0385,0.9842,14.4586875,Shu nuqtai nazardan biz mana shu nam havo oqimini oldingi prognozlarimizda chigit ekish muddatini optimal muddatini belgilashda mana shu nam havo oqimini o'tib ketishini biz rejalashtirib
2659,00020775.wav,"yuqori kengash respublika ministrlar kengashi qolaversa, O'zbekiston hukumatining bu olib borayotgan sababi ko'zimiz bilan ko'rib mana qardoshlar ko'zlari bilan ko'rib xalqimizga yetkazsa bu","Yuqori Kengash, Respublika Ministrlar Kengashi, qolaversa-da Oʻzbekiston hukumatining bu olib borayotgan sababi koʻzimiz bilan koʻrib, mana qardoshlar koʻzlari bilan koʻrib, xalqimizga yetkazsa bu",yuqori kengash respublika ministrlar kengashi qolaversa o'zbekiston hukumatining bu olib borayotgan sababi ko'zimiz bilan ko'rib mana qardoshlar ko'zlari bilan ko'rib xalqimizga yetkazsa bu,yuqori kengash respublika ministrlar kengashi qolaversa-da o'zbekiston hukumatining bu olib borayotgan sababi ko'zimiz bilan ko'rib mana qardoshlar ko'zlari bilan ko'rib xalqimizga yetkazsa bu,0.0435,0.9921,15.3226875,"yuqori kengash respublika ministrlar kengashi qolaversa, O'zbekiston hukumatining bu olib borayotgan sababi ko'zimiz bilan ko'rib mana qardoshlar ko'zlari bilan ko'rib xalqimizga yetkazsa bu"
54,00000328.wav,yil navbatdan tashqari saylov kongressi yopiq deb e'lon qilinadi. E'tiboringiz uchun rahmat.,yigirma beshinchi yil navbatdan tashqari saylov kongressi yopiq deb eʼlon qilinadi. Eʼtiboringiz uchun rahmat.,yil navbatdan tashqari saylov kongressi yopiq deb e'lon qilinadi e'tiboringiz uchun rahmat,yigirma beshinchi yil navbatdan tashqari saylov kongressi yopiq deb e'lon qilinadi e'tiboringiz uchun rahmat,0.1667,0.9091,10.7481875,beshinchi yil navbatdan tashqari saylov kongressi yopiq deb e'lon qilinadi. E'tiboringiz uchun rahmat.
1429,00011158.wav,"a o'sha kiymasiga beraman, o'shalarni xulosasi bor, umumiy xulosaga kirgan 12 ta loyiq emas, qolganlarini loyi deb, apparat","oʻsha qiymatiga beraman. Oʻshalarni xulosasi bor. Umumiy xulosaga kirgan. 12 ta loyiq emas, qolganlarini loyiq deb apparat",a o'sha kiymasiga beraman o'shalarni xulosasi bor umumiy xulosaga kirgan o'n ikkita loyiq emas qolganlarini loyi deb apparat,o'sha qiymatiga beraman o'shalarni xulosasi bor umumiy xulosaga kirgan o'n ikkita loyiq emas qolganlarini loyiq deb apparat,0.1667,0.9717,16.5706875,"a o'sha kiymasiga beraman, o'shalarni xulosasi bor, umumiy xulosaga kirgan 12 ta loyiq emas, qolganlarini loyiq deb, apparat"
116,00000810.wav,"Endi uchinchi challenge bu yerda to'g'risi vaqtni to'g'ri taqsimlash, time management desa bo'ladi.","Endi uchinchi challenge, hm, bu yerda, to'g'risi vaqtni, vaqtni to'g'ri taqsimlash. Time management desa bo'ladi.",endi uchinchi challenge bu yerda to'g'risi vaqtni to'g'ri taqsimlash time management desa bo'ladi,endi uchinchi challenge hm bu yerda to'g'risi vaqtni vaqtni to'g'ri taqsimlash time management desa bo'ladi,0.1538,0.951,10.89,"Endi uchinchi challenge bu yerda to'g'risi vaqtni to'g'ri taqsimlash, time management desa bo'ladi."
1125,00008980.wav,ovoz berish jarayonlarini yanada bir shaffof hamda fuqarolar uchun haqqoniy o'tkazilishini ta'minlash uchun joriy etilayotgan,ovoz berish jarayonlarini yanada bir shaffof hamda fuqarolar uchun haqqoniy oʻtkazilishini taʼminlash uchun joriy etilyapti etilayotgan,ovoz berish jarayonlarini yanada bir shaffof hamda fuqarolar uchun haqqoniy o'tkazilishini ta'minlash uchun joriy etilayotgan,ovoz berish jarayonlarini yanada bir shaffof hamda fuqarolar uchun haqqoniy o'tkazilishini ta'minlash uchun joriy etilyapti etilayotgan,0.0667,0.9615,9.96,ovoz berish jarayonlarini yanada bir shaffof hamda fuqarolar uchun haqqoniy o'tkazilishini ta'minlash uchun joriy etilayotgan
