id,path,text_spt,text_original,ref_normalized,hyp_normalized,wer,sequence_similarity,duration,sentence_checked
26420,00017597_1.wav,Ya'ni jinoyatni oldini olish o'rniga jinoyatga zamin yaratib berayotgan hisoblanamiz. Avvalambor bizni vazifamiz jinoyatlarni huquqbuzarliklarni oldini olish.,"ya'ni jinoyatni oldini olish o'rniga jinoyatga zamin yaratib berayotgan hisoblanamiz. Avvalambor, bizlarni vazifamiz jinoyatlarni, huquqbuzarliklarni oldini olish.",ya'ni jinoyatni oldini olish o'rniga jinoyatga zamin yaratib berayotgan hisoblanamiz avvalambor bizni vazifamiz jinoyatlarni huquqbuzarliklarni oldini olish,ya'ni jinoyatni oldini olish o'rniga jinoyatga zamin yaratib berayotgan hisoblanamiz avvalambor bizlarni vazifamiz jinoyatlarni huquqbuzarliklarni oldini olish,0.0588,0.9905,10.27,Ya'ni jinoyatni oldini olish o'rniga jinoyatga zamin yaratib berayotgan hisoblanamiz. Avvalambor bizni vazifamiz jinoyatlarni huquqbuzarliklarni oldini olish.
26558,00017687_0.wav,"Men rasm ham chizardim. Unga e'tibor bermasdim rasm chizishimga, lekin bor edi. Keyin she'r ham yozaman, poem.","keyin rasm ham chizardim. Unga e'tibor bermasdim rasm chizishimga, lekin bor edi. Keyin she'r ham yozaman, poem.",men rasm ham chizardim unga e'tibor bermasdim rasm chizishimga lekin bor edi keyin she'r ham yozaman poem,keyin rasm ham chizardim unga e'tibor bermasdim rasm chizishimga lekin bor edi keyin she'r ham yozaman poem,0.0588,0.9811,7.58,"keyin, rasm ham chizardim. Unga e'tibor bermasdim rasm chizishimga, lekin bor edi. Keyin she'r ham yozaman, poem."
6907,00004217_0.wav,boshlangan va 12-iyulga qadar davom etgan mazkur sammitda NATO rahbari Jens Stoltenbergdan tashqari ko'plab alyansga a'zo davlatlar rahbarlari ishtirok etishdi. Birinchilardan bo'lib sammit bo'ladigan joyda Turkiya prezidenti Rajab Tayyip Erdo'g'an paydo bo'ldi. U 10-iyul kuni rafiqasi Emine Erdo'g'an bilan Litva poytaxtiga yetib kelgandi. Rafiqasi bilan Litvaga yetib kelgan boshqa rahbarlar qatorida esa Fransiya rahbari,"boshlangan va 12-iyulga qadar davom etgan mazkur sammitda NATO rahbari Jens Stoltenbergdan tashqari koʻplab alyansga aʼzo davlatlar rahbarlari ishtirok etishdi. Birinchilardan boʻlib, sammit boʻladigan joyda Turkiya prezidenti Rajab Toyib Erdoʻgʻan paydo boʻldi. U 10-iyul kuni rafiqasi Emine Erdoʻgʻan bilan Litva poytaxtiga yetib kelgandi. Rafiqasi bilan Litvaga yetib kelgan boshqa rahbarlar qatorida esa Fransiya rahbari",boshlangan va o'n ikkinchi iyulga qadar davom etgan mazkur sammitda nato rahbari jens stoltenbergdan tashqari ko'plab alyansga a'zo davlatlar rahbarlari ishtirok etishdi birinchilardan bo'lib sammit bo'ladigan joyda turkiya prezidenti rajab tayyip erdo'g'an paydo bo'ldi u o'ninchi iyul kuni rafiqasi emine erdo'g'an bilan litva poytaxtiga yetib kelgandi rafiqasi bilan litvaga yetib kelgan boshqa rahbarlar qatorida esa fransiya rahbari,boshlangan va o'n ikkinchi iyulga qadar davom etgan mazkur sammitda nato rahbari jens stoltenbergdan tashqari ko'plab alyansga a'zo davlatlar rahbarlari ishtirok etishdi birinchilardan bo'lib sammit bo'ladigan joyda turkiya prezidenti rajab toyib erdo'g'an paydo bo'ldi u o'ninchi iyul kuni rafiqasi emine erdo'g'an bilan litva poytaxtiga yetib kelgandi rafiqasi bilan litvaga yetib kelgan boshqa rahbarlar qatorida esa fransiya rahbari,0.0175,0.614,28.45,boshlangan va 12-iyulga qadar davom etgan mazkur sammitda NATO rahbari Jens Stoltenbergdan tashqari ko'plab alyansga a'zo davlatlar rahbarlari ishtirok etishdi. Birinchilardan bo'lib sammit bo'ladigan joyda Turkiya prezidenti Rajab Toyyib Erdo'g'an paydo bo'ldi. U 10-iyul kuni rafiqasi Emine Erdo'g'an bilan Litva poytaxtiga yetib kelgandi. Rafiqasi bilan Litvaga yetib kelgan boshqa rahbarlar qatorida esa Fransiya rahbari
5160,00016451_0.wav,"Demak, o'sha maksimumdan siz o'tib ketadigan bo'lsangiz, bu sizni iqtisodiy o'sishingizga negativ ta'sir qiladi. O'sha maksimumga yetmay qolsangiz, demak, u pozitiv ta'sir qilaveradi sizga. O'zbekistonda ham, demak, umumiy qarzlar, demak, 50-55% atrofida bo'ladigan bo'lsa,","demak oʻsha maksimumdan siz oʻtib ketadigan boʻlsangiz, bu sizni iqtisodiy oʻsishingizga negativ taʼsir qiladi. Oʻsha maksimumga yetmay qolsangiz, demak u pozitiv taʼsir qilaveradi sizga. Oʻzbekistonda ham demak umumiy qarzlar demak 50-55%da bu atrofida boʻladigan boʻlsa,",demak o'sha maksimumdan siz o'tib ketadigan bo'lsangiz bu sizni iqtisodiy o'sishingizga negativ ta'sir qiladi o'sha maksimumga yetmay qolsangiz demak u pozitiv ta'sir qilaveradi sizga o'zbekistonda ham demak umumiy qarzlar demak ellik-ellik besh foiz atrofida bo'ladigan bo'lsa,demak o'sha maksimumdan siz o'tib ketadigan bo'lsangiz bu sizni iqtisodiy o'sishingizga negativ ta'sir qiladi o'sha maksimumga yetmay qolsangiz demak u pozitiv ta'sir qilaveradi sizga o'zbekistonda ham demak umumiy qarzlar demak ellik-ellik besh foizda bu atrofida bo'ladigan bo'lsa,0.0556,0.9911,17.2,"Demak, o'sha maksimumdan siz o'tib ketadigan bo'lsangiz, bu sizni iqtisodiy o'sishingizga negativ ta'sir qiladi. O'sha maksimumga yetmay qolsangiz, demak, u pozitiv ta'sir qilaveradi sizga. O'zbekistonda ham, demak, umumiy qarzlar, demak, 50-55% atrofida bo'ladigan bo'lsa,"
5101,00016397_0.wav,"ham sotilgan. Shuningdek, bu ikki turdagi mototsikllarni kolxoz va sovxozlarda ishlagan ilg'or dehqonlarga, brigada boshliqlariga paxta hamda boshqa qishloq xo'jaligi mahsulotlarini yetishtirishda ko'rsatgan xizmatlari uchun sovg'a tariqasida berishgan. 1980-yillarga kelib Ural va Dneprda nemislar tomonidan ishlab chiqarilgan BMW R71 modelining asosi saqlab qolingan holda uning ayrim detallari o'zgartiriladi. Jumladan dvigateli biroz kuchaytiriladi va shunga yarasha","O'zbekistonda ham sotilgan. Shuningdek, bu ikki turdagi mototsikllarni kolxoz va sovxozlarda ishlagan ilg'or dehqonlarga, brigada boshliqlariga, paxta hamda boshqa qishloq xo'jaligi mahsulotlarini yetishtirishda ko'rsatgan xizmatlari uchun sovg'a tariqasida berishgan. 1980-yillarga kelib Ural va Dneprda Nemislar tomonidan ishlab chiqarilgan BMW R71 modelining asosi saqlab qolingan holda, uning ayrim detallari o'zgartiriladi. Jumladan dvigateli biroz kuchaytiriladi va shunga yarasha",ham sotilgan shuningdek bu ikki turdagi mototsikllarni kolxoz va sovxozlarda ishlagan ilg'or dehqonlarga brigada boshliqlariga paxta hamda boshqa qishloq xo'jaligi mahsulotlarini yetishtirishda ko'rsatgan xizmatlari uchun sovg'a tariqasida berishgan bir ming to'qqiz yuz saksoninchi yillarga kelib ural va dneprda nemislar tomonidan ishlab chiqarilgan bmw r yetmish bir modelining asosi saqlab qolingan holda uning ayrim detallari o'zgartiriladi jumladan dvigateli biroz kuchaytiriladi va shunga yarasha,o'zbekistonda ham sotilgan shuningdek bu ikki turdagi mototsikllarni kolxoz va sovxozlarda ishlagan ilg'or dehqonlarga brigada boshliqlariga paxta hamda boshqa qishloq xo'jaligi mahsulotlarini yetishtirishda ko'rsatgan xizmatlari uchun sovg'a tariqasida berishgan bir ming to'qqiz yuz saksoninchi yillarga kelib ural va dneprda nemislar tomonidan ishlab chiqarilgan bmw r yetmish bir modelining asosi saqlab qolingan holda uning ayrim detallari o'zgartiriladi jumladan dvigateli biroz kuchaytiriladi va shunga yarasha,0.0161,0.9863,28.41,"O'zbekistonda ham sotilgan. Shuningdek, bu ikki turdagi mototsikllarni kolxoz va sovxozlarda ishlagan ilg'or dehqonlarga, brigada boshliqlariga paxta hamda boshqa qishloq xo'jaligi mahsulotlarini yetishtirishda ko'rsatgan xizmatlari uchun sovg'a tariqasida berishgan. 1980-yillarga kelib Ural va Dneprda nemislar tomonidan ishlab chiqarilgan BMW R71 modelining asosi saqlab qolingan holda uning ayrim detallari o'zgartiriladi. Jumladan dvigateli biroz kuchaytiriladi va shunga yarasha"
7063,00013520_0.wav,"aytib o'tdim, har bir meva o'zini algoritmi bor. Shunaqa algoritmni tuzishga, tizimini tuzishga harakat qilamiz. Undan keyin esa","aytib o'tdim, har bir mevada o'zini algoritmi bor. Shunaqa algoritmni tuzishga, tizimini tuzishga harakat qilamiz. Undan keyin esa,",aytib o'tdim har bir meva o'zini algoritmi bor shunaqa algoritmni tuzishga tizimini tuzishga harakat qilamiz undan keyin esa,aytib o'tdim har bir mevada o'zini algoritmi bor shunaqa algoritmni tuzishga tizimini tuzishga harakat qilamiz undan keyin esa,0.0556,0.992,12.28,"aytib o'tdim, har bir mevada o'zini algoritmi bor. Shunaqa algoritmni tuzishga, tizimini tuzishga harakat qilamiz. Undan keyin esa"
15044,00016966_1.wav,"to'rtta xodimga nisbatan, demak, jinoyat ishi qo'zg'atildi. Endi bu, albatta, bu salbiy holatlar, lekin shu bilan barobar ijobiy tomonlari ham bor. Mana, misol uchun,","toʻrtta xodimga nisbatan, demak, jinoyat ishi qoʻzgʻatildi. Endi bu albatta, bu salbiy holatlar, lekin shu bilan baravar ijobiy tomonlari ham bor. Mana misol uchun,",to'rtta xodimga nisbatan demak jinoyat ishi qo'zg'atildi endi bu albatta bu salbiy holatlar lekin shu bilan barobar ijobiy tomonlari ham bor mana misol uchun,to'rtta xodimga nisbatan demak jinoyat ishi qo'zg'atildi endi bu albatta bu salbiy holatlar lekin shu bilan baravar ijobiy tomonlari ham bor mana misol uchun,0.0417,0.9873,11.62,"to'rtta xodimga nisbatan, demak, jinoyat ishi qo'zg'atildi. Endi bu, albatta, bu salbiy holatlar, lekin shu bilan barobar ijobiy tomonlari ham bor. Mana, misol uchun,"
12084,00002575_0.wav,"O'sha o'quvchi maktabda o'quvchisi, yoshlar, ayasi, dadasi yoki ota-onasi va ustozini teng ko'radigan darajada ustoz bo'lishi kerak deb o'ylayman men.","o'sha o'quvchi, maktabda o'quvchisi, yoshlar, ayasi, dadasi yoki ota-onasi va ustozini teng ko'radigan darajada ustoz bo'lishi kerak deb o'ylayman-da men.",o'sha o'quvchi maktabda o'quvchisi yoshlar ayasi dadasi yoki ota-onasi va ustozini teng ko'radigan darajada ustoz bo'lishi kerak deb o'ylayman men,o'sha o'quvchi maktabda o'quvchisi yoshlar ayasi dadasi yoki ota-onasi va ustozini teng ko'radigan darajada ustoz bo'lishi kerak deb o'ylayman-da men,0.05,0.9898,10.71,"O'sha o'quvchi maktabda o'quvchisi, yoshlar, ayasi, dadasi yoki ota-onasi va ustozini teng ko'radigan darajada ustoz bo'lishi kerak deb o'ylayman-da men."
7764,00013986_0.wav,"o'zimiz ovoz berganmiz hammasiga. Ha, ha, qatnashamiz, ovozimizni beramiz. Saylovda qatnashish niyatiz bormi? Niyatimiz bor, xudo xohlasa ikki kundan keyin O'zbekistonga uchayapmiz. Istanbulda saylov jarayonlari qanday tashkil etiladi? Turkiyadagi o'zbeklar qayerda va qanday qilib","o'zimiz ovoz berganmiz hammasiga. Ha, ha, qatnashamiz, ovozimizni beramiz. Saylovda qatnashish niyatingiz bormi? Niyatimiz bor, Xudo xohlasa, ikki kundan keyin O'zbekistonga uchayapmiz. Istanbulda saylov jarayonlari qanday tashkil etiladi? Turkiyadagi o'zbeklar qayerda va qanday qilib",o'zimiz ovoz berganmiz hammasiga ha ha qatnashamiz ovozimizni beramiz saylovda qatnashish niyatiz bormi niyatimiz bor xudo xohlasa ikki kundan keyin o'zbekistonga uchayapmiz istanbulda saylov jarayonlari qanday tashkil etiladi turkiyadagi o'zbeklar qayerda va qanday qilib,o'zimiz ovoz berganmiz hammasiga ha ha qatnashamiz ovozimizni beramiz saylovda qatnashish niyatingiz bormi niyatimiz bor xudo xohlasa ikki kundan keyin o'zbekistonga uchayapmiz istanbulda saylov jarayonlari qanday tashkil etiladi turkiyadagi o'zbeklar qayerda va qanday qilib,0.0294,0.9945,16.92,"o'zimiz ovoz berganmiz hammasiga. Ha, ha, qatnashamiz, ovozimizni beramiz. Saylovda qatnashish niyatingiz bormi? Niyatimiz bor, xudo xohlasa ikki kundan keyin O'zbekistonga uchayapmiz. Istanbulda saylov jarayonlari qanday tashkil etiladi? Turkiyadagi o'zbeklar qayerda va qanday qilib"
19533,00007450_1.wav,"qilamiz deydi, oradan bir qarasang bir yil o'tadi, ikki yil, uch yil, yillar o'tib ketib qoladi. Lekin men bundan xafa ham bo'lmayman, chunki misol uchun oddiy misol tariqasida aytamanki, o'zbek palovini Ginnes rekordlar kitobiga kiritishni eng birinchi harakat 2010-yil boshlangan. O'sha u payt","qilamiz deydi. Oradan bir qarasak bir yil o'tadi, ikki yil, uch yil, yillar o'tib ketib qoladi. Lekin men bundan xafa ham bo'lmayman, chunki, misol uchun, oddiy misol tariqasida aytamanki, o'zbek palovini Ginnes rekordlar kitobiga kiritishni eng birinchi harakat 2010-yil boshlangan. O'sha u payt",qilamiz deydi oradan bir qarasang bir yil o'tadi ikki yil uch yil yillar o'tib ketib qoladi lekin men bundan xafa ham bo'lmayman chunki misol uchun oddiy misol tariqasida aytamanki o'zbek palovini ginnes rekordlar kitobiga kiritishni eng birinchi harakat ikki ming o'ninchi yil boshlangan o'sha u payt,qilamiz deydi oradan bir qarasak bir yil o'tadi ikki yil uch yil yillar o'tib ketib qoladi lekin men bundan xafa ham bo'lmayman chunki misol uchun oddiy misol tariqasida aytamanki o'zbek palovini ginnes rekordlar kitobiga kiritishni eng birinchi harakat ikki ming o'ninchi yil boshlangan o'sha u payt,0.0217,0.995,17.04,"qilamiz deydi, oradan bir qarasak bir yil o'tadi, ikki yil, uch yil, yillar o'tib ketib qoladi. Lekin men bundan xafa ham bo'lmayman, chunki misol uchun oddiy misol tariqasida aytamanki, o'zbek palovini Ginnes rekordlar kitobiga kiritishni eng birinchi harakat 2010-yil boshlangan. O'sha u payt"
