id,path,duration,text_spt,text_original,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count,sentence_checked
22663,00007736_1.wav,13.28,baligi oratorlik ustidan keyin tursa kerak oratorlik sal nima ekan teparoqda ekan ya'ni odamlar nima uchun biznes boshlay olmaydi nima uchun hamma tadbirkor bo'la olmaydi chunki o'sha qo'rqadida yo'qotsamchi,"haligi oratorskiy vystupleniyadan keyin tursa kerak, oratorskiy sal nimaroq ekan, teparoqda ekan. Shunaqa ekanmi? Ha, ya'ni odamlar nima uchun biznes boshlay olmaydi? Nima uchun hamma tadbirkor bo'la olmaydi? Chunki o'sha qo'rqadi-da, yo'qotsam-chi.",baligi oratorlik ustidan keyin tursa kerak oratorlik sal nima ekan teparoqda ekan ya'ni odamlar nima uchun biznes boshlay olmaydi nima uchun hamma tadbirkor bo'la olmaydi chunki o'sha qo'rqadida yo'qotsamchi,haligi oratorskiy vystupleniyadan keyin tursa kerak oratorskiy sal nimaroq ekan teparoqda ekan shunaqa ekanmi ha ya'ni odamlar nima uchun biznes boshlay olmaydi nima uchun hamma tadbirkor bo'la olmaydi chunki o'sha qo'rqadi-da yo'qotsam-chi,0.3448,0.1884,0.5548,29,32,"haligi, oratorlik vystupleniyadan keyin tursa kerak oratorlik sal nimaroq ekan teparoqda ekan. Shunaqa ekanmi? Ha, ya'ni odamlar nima uchun biznes boshlay olmaydi, nima uchun hamma tadbirkor bo'la olmaydi? Chunki o'sha qo'rqadi-da yo'qotsamchi?"
31037,00010332_0.wav,13.07,"Tushunmadim men sizlarni. Bo'ldi qaror tushunarlimi? Qarorim tushunarlimi sizlarga? Yo'q o'chirma, o'chirma.","Tushunmadim men sizlarni. qaror ustida eshitdik hammasini, tushunarli. Bo'ldi, qaror tushunarlimi? Qarorim tushunarlimi sizlarga? Yo'q, o'chirma, o'chirma.",tushunmadim men sizlarni bo'ldi qaror tushunarlimi qarorim tushunarlimi sizlarga yo'q o'chirma o'chirma,tushunmadim men sizlarni qaror ustida eshitdik hammasini tushunarli bo'ldi qaror tushunarlimi qarorim tushunarlimi sizlarga yo'q o'chirma o'chirma,0.4167,0.4175,0.8273,12,17,"Tushunmadim men sizlarni. Bo'ldi qaror tushunarlimi? Qarorim tushunarlimi sizlarga? Yo'q o'chirma, o'chirma."
2776,00004390_1.wav,9.86,"Suldash, Sherzod, Shuhratjon nomiga rasmiylashtirilgan Toshkent viloyati Bo'stonliq tumani, Chingan qishlog'idagi bir dona raqamsiz dala hovli.","Sudlanuvchi Dusshanov Sherzod Shuqurovjon o'g'li nomiga rasmiylashtirilgan. Toshkent viloyati Bo'stonliq tumani, Chimyon qishlog'idagi bir dona raqamsiz dala hovli.",suldash sherzod shuhratjon nomiga rasmiylashtirilgan toshkent viloyati bo'stonliq tumani chingan qishlog'idagi bir dona raqamsiz dala hovli,sudlanuvchi dusshanov sherzod shuqurovjon o'g'li nomiga rasmiylashtirilgan toshkent viloyati bo'stonliq tumani chimyon qishlog'idagi bir dona raqamsiz dala hovli,0.3125,0.2086,0.88,16,18,"Suldlanuvchi Dusshanov Sherzod Shukurjon o'g'li nomiga rasmiylashtirilgan Toshkent viloyati Bo'stonliq tumani, Chimyon qishlog'idagi bir dona raqamsiz dala hovli."
24262,00013004_0.wav,22.88,"berishi mumkinki, Nodirbekka juda ham katta imkoniyatlari bor va ishonamizki, u albatta butun jahon shu dunyoda eng e'tirof etilgan klassika shaxmat bo'yicha ham shaxmat tojini O'zbekistonga keltira oladi.","kafolat berishim mumkinki, Nodirbekki judayam katta imkoniyatlari bor va ishonamizki, u albatta butun jahon shu dunyoda eng e'tirof etilgan klassik shaxmat bo'yicha ham shaxmat tojini O'zbekistonga keltira biladi.",berishi mumkinki nodirbekka juda ham katta imkoniyatlari bor va ishonamizki u albatta butun jahon shu dunyoda eng e'tirof etilgan klassika shaxmat bo'yicha ham shaxmat tojini o'zbekistonga keltira oladi,kafolat berishim mumkinki nodirbekki judayam katta imkoniyatlari bor va ishonamizki u albatta butun jahon shu dunyoda eng e'tirof etilgan klassik shaxmat bo'yicha ham shaxmat tojini o'zbekistonga keltira biladi,0.25,0.0743,0.8107,28,28,"kafolat berishim mumkinki, Nodirbek aka juda ham katta imkoniyatlari bor va ishonamizki, u albatta butun jahon shu dunyoda eng e'tirof etilgan klassik shaxmat bo'yicha ham shaxmat tojini O'zbekistonga keltira biladi."
28681,00017306_0.wav,16.2,,"kak etapma-etap qabul qilishdi. To est u nas indeksatsiya bo'ldi. hozir ham menimcha shu 2000 dollardan oshiq bo'lsa kerak to'lovlari. birinchi etap kichkina, kichkina, kichkina qilib oshirib, oshirib, shtobi potomu shto baribir uni joriy qilgandan kim",,kak etapma-etap qabul qilishdi to est u nas indeksatsiya bo'ldi hozir ham menimcha shu ikki ming dollardan oshiq bo'lsa kerak to'lovlari birinchi etap kichkina kichkina kichkina qilib oshirib oshirib shtobi potomu shto baribir uni joriy qilgandan kim,37.0,250.0,0.0,0,37,"Etapma-etap qabul qilishdi. To est u nas indeksatsiya bo'ldi. Hozir ham menimcha shu 2000 dollardan oshiq bo'lsa kerak to'lovlari. Birinchi etap kichkina, kichkina, kichkina qilib oshirib, oshirib, shtobi potomu shto baribir uni joriy qilgandan keyin"
28482,00017153_0.wav,28.49,"Shavkat Mirziyoyev. Ha, saylovda iloji boricha oddiy ishchi vakillardan chiqqan odam bo'lgani yaxshi. Shavkat Mirziyoyev. Rasul Qo'sharboyev. Bilmayman. Yagona lider bizda hozircha Mirziyoyev bo'lib turibdi-da. Buni hozir liderlik ko'rinmayapti shakli hozir. Yo'q, Mirziyoyev, Saxayev.","narxlari oshib bo'ldi 20% ga.
Shavkat Mirziyoyev.
Ha, saylovda iloji boricha oddiy ishchi vakillardan chiqqan odam bo'lgani yaxshi.
Shavkat Mirziyoyev.
Rasul Qo'sherboyev.
Bilmayman.
Endi yagona lider bizda hozircha Mirziyoyev bo'lib turibdi-da.
Buni hozir liderlik ko'rinmayapti shekilli hozir.
Nu, Mirziyoyev, Saxayev,",shavkat mirziyoyev ha saylovda iloji boricha oddiy ishchi vakillardan chiqqan odam bo'lgani yaxshi shavkat mirziyoyev rasul qo'sharboyev bilmayman yagona lider bizda hozircha mirziyoyev bo'lib turibdi-da buni hozir liderlik ko'rinmayapti shakli hozir yo'q mirziyoyev saxayev,narxlari oshib bo'ldi yigirma foizga shavkat mirziyoyev ha saylovda iloji boricha oddiy ishchi vakillardan chiqqan odam bo'lgani yaxshi shavkat mirziyoyev rasul qo'sherboyev bilmayman endi yagona lider bizda hozircha mirziyoyev bo'lib turibdi-da buni hozir liderlik ko'rinmayapti shekilli hozir nu mirziyoyev saxayev,0.2647,0.1825,0.8203,34,40,"Narx-navo oshib bo'ldi 20%ga. Shavkat Mirziyoyev. Ha, saylovda iloji boricha oddiy ishchi vakillardan chiqqan odam bo'lgani yaxshi. Shavkat Mirziyoyev. Rasul Qo'sharboyev. Bilmayman. Yagona lider bizda hozircha Mirziyoyev bo'lib turibdi-da. Buni hozir liderlik ko'rinmayapti shakilli hozir. Yo'q, Mirziyoyev, Saxayev."
10072,00013743_0.wav,13.88,"ikki barobar oshish. O'zi kerakmi, kerakmi, kerakmi, kerak emasmi shuncha analiz qilish? Endi oddiy nima deydi, shu nimalarga aholiga yetadi, lekin ilmiy nimada hozir.","fikir bermaslik uchun. O'zi kerakmi, kerakmi, keragimi, kerak emasmi, shuncha analiz qilish. E endi, oddiy nima deydi, shu nimalarga, aholiga yetadi, lekin ilmiy nimada, hozir.",ikki barobar oshish o'zi kerakmi kerakmi kerakmi kerak emasmi shuncha analiz qilish endi oddiy nima deydi shu nimalarga aholiga yetadi lekin ilmiy nimada hozir,fikir bermaslik uchun o'zi kerakmi kerakmi keragimi kerak emasmi shuncha analiz qilish e endi oddiy nima deydi shu nimalarga aholiga yetadi lekin ilmiy nimada hozir,0.2083,0.1195,0.9102,24,25,"fikr almashish. O'zi kerakmi, kerakmi, kerakmi, kerak emasmi shuncha analiz qilish? Endi oddiy nima deydi, shu nimalarga aholiga yetadi, lekin ilmiy nimada hozir."
9471,00004130_0.wav,28.49,"kanalida murojaat bo'lgan, to'g'rimi? partiya kompaniyasini matbuot kotibida telegram kanalida murojaat qilganmi? Bizga efir bering, bizga so'z aytish imkoniyat bering deb. Xuddi shunday murojaat boshqa partiyalardan ham bo'lgan. Xo'p, bu murojaat bo'lsa bemalol bular ham gapirib yuborsin, lekin bu stadion emas-ku siz o'zingizni tasavvur qilyapsizmi? Men ko'p savol beraman, to'rtta","kanalida murojaat bo'lgan, to'g'rimi? Artel kompaniyasini matbuot kotibidan telegram kanalida murojaat bo'lganmi? Bizga efir bering, bizga so'z aytish imkoniyatini bering deb. Xuddi shunday murojaat boshqa mahkamadan ham bo'lgan. Xo'p, bu murojaat bo'lsa bemalol, ular ham gapiraversin, lekin... bu stadionmasku, siz o'zingizni tasavvur qilyapsizmi? Men to'rt savol so'rayapman...",kanalida murojaat bo'lgan to'g'rimi partiya kompaniyasini matbuot kotibida telegram kanalida murojaat qilganmi bizga efir bering bizga so'z aytish imkoniyat bering deb xuddi shunday murojaat boshqa partiyalardan ham bo'lgan xo'p bu murojaat bo'lsa bemalol bular ham gapirib yuborsin lekin bu stadion emas-ku siz o'zingizni tasavvur qilyapsizmi men ko'p savol beraman to'rtta,kanalida murojaat bo'lgan to'g'rimi artel kompaniyasini matbuot kotibidan telegram kanalida murojaat bo'lganmi bizga efir bering bizga so'z aytish imkoniyatini bering deb xuddi shunday murojaat boshqa mahkamadan ham bo'lgan xo'p bu murojaat bo'lsa bemalol ular ham gapiraversin lekin bu stadionmasku siz o'zingizni tasavvur qilyapsizmi men to'rt savol so'rayapman,0.26,0.1203,0.3501,50,47,"kanalida murojaat bo'lgan, to'g'rimi? Artel kompaniyasini matbuot kotibini telegram kanalida murojaat bo'lganmi? Bizga efir bering, bizga so'z aytish imkoniyat bering deb. Xuddi shunday murojaat boshqa tomondan ham bo'lgan. Xo'p, bu murojaat bo'lsa bemalol bular ham gapiraversin, lekin bu stadion emas-ku siz o'zingizni tasavvur qilyapsizmi? Men ko'p savol so'ramayapman, to'rtta"
5918,00001682_1.wav,13.28,"Shu orzu bo'lardida, nimagaki, karnay-surnayni shu qo'shig'imga qo'shib nimadir yaratmasam ekan. Ozgina milliylik qo'shsam degan. O'zimizni milliyligimizni, men juda ham katta vatanparvar bo'lamanda.","shu orzu bo'lardi-da. Nimagaki, karnay-surnayi shu qo'shig'imga qo'shib nimadir yaratmasammikin? Ozgina milliylik qo'shsam degansizda. O'zimizni milliyligimizni men juda ham katta vatanparvar bolaman-da.",shu orzu bo'lardida nimagaki karnay-surnayni shu qo'shig'imga qo'shib nimadir yaratmasam ekan ozgina milliylik qo'shsam degan o'zimizni milliyligimizni men juda ham katta vatanparvar bo'lamanda,shu orzu bo'lardi-da nimagaki karnay-surnayi shu qo'shig'imga qo'shib nimadir yaratmasammikin ozgina milliylik qo'shsam degansizda o'zimizni milliyligimizni men juda ham katta vatanparvar bolaman-da,0.2609,0.0622,0.9616,23,22,"Shu orzu bo'lardi-da, nimagaki, karnay-surnayni shu qo'shig'imga qo'shib nimadir yaratmasammikin? Ozgina milliylik qo'shsam degansizda. O'zimizni milliyligimizni, men juda ham katta vatanparvar bolaman-da."
15145,00002831_0.wav,12.62,"Deliver happiness deymiz o'zi, ya'ni biz xursandchilik yetkazamiz. Toni Sheyning shunaqa kitobi bor, Delivering Happiness degan, o'qiganmisiz bilmayman. O'qigansiz. Biz xuddi shu narsani, bizning shiorimiz shu.","believer happiness deymiz biz, ya'ni biz xursandchilik yetkazamiz. Tony Sheyni shunaqa kitobi bor. Delivering happiness degan. O'qigansiz bilmayman. O'qigansiz. Biz biz xuddi shu narsani, bizlarni shiorimiz shu.",deliver happiness deymiz o'zi ya'ni biz xursandchilik yetkazamiz toni sheyning shunaqa kitobi bor delivering happiness degan o'qiganmisiz bilmayman o'qigansiz biz xuddi shu narsani bizning shiorimiz shu,believer happiness deymiz biz ya'ni biz xursandchilik yetkazamiz tony sheyni shunaqa kitobi bor delivering happiness degan o'qigansiz bilmayman o'qigansiz biz biz xuddi shu narsani bizlarni shiorimiz shu,0.2692,0.0891,0.8099,26,27,"Deliver happiness deymiz biz, ya'ni biz xursandchilik yetkazamiz. Toni Sheyning shunaqa kitobi bor, Delivering Happiness degan, o'qiganmisiz bilmayman. O'qigansiz. Biz xuddi shu narsani, bizning shiorimiz shu."
