id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
0,849941.wav,849941_augmented_spd_nse.wav,5.076,5.3613,True,0.9468,False,False,False,AugmentationType.SPEED|NOISE
1,849941.wav,849941_augmented_pch_msk.wav,5.076,5.076,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
2,864646.wav,864646_augmented_spd_nse.wav,5.976,6.1571,True,0.9706,False,True,False,AugmentationType.SPEED|NOISE
3,864646.wav,864646_augmented_pch_msk.wav,5.976,5.976,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
4,864662.wav,864662_augmented_spd_nse.wav,7.272,7.3433,True,0.9903,False,False,False,AugmentationType.SPEED|NOISE
5,864662.wav,864662_augmented_pch_msk.wav,7.272,7.272,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
6,843278.wav,843278_augmented_spd_nse.wav,5.004,5.5246,True,0.9058,False,False,False,AugmentationType.SPEED|NOISE
7,843278.wav,843278_augmented_pch_msk.wav,5.004,5.004,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
8,843702.wav,843702_augmented_spd_nse.wav,5.508,5.9462,True,0.9263,False,True,False,AugmentationType.SPEED|NOISE
9,843702.wav,843702_augmented_pch_msk.wav,5.508,5.508,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
10,864667.wav,864667_augmented_spd_nse.wav,7.272,7.1181,True,1.0216,False,True,False,AugmentationType.SPEED|NOISE
11,864667.wav,864667_augmented_pch_msk.wav,7.272,7.272,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
12,487568.wav,487568_augmented_spd_nse.wav,5.004,4.6632,True,1.0731,False,True,False,AugmentationType.SPEED|NOISE
13,487568.wav,487568_augmented_pch_msk.wav,5.004,5.004,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
14,721725.wav,721725_augmented_spd_nse.wav,6.768,7.0999,True,0.9533,False,False,False,AugmentationType.SPEED|NOISE
15,721725.wav,721725_augmented_pch_msk.wav,6.768,6.768,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
16,860571.wav,860571_augmented_spd_nse.wav,7.848,7.4952,True,1.0471,False,True,False,AugmentationType.SPEED|NOISE
17,860571.wav,860571_augmented_pch_msk.wav,7.848,7.848,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
18,861859.wav,861859_augmented_spd_nse.wav,6.624,6.9916,True,0.9474,False,False,False,AugmentationType.SPEED|NOISE
19,861859.wav,861859_augmented_pch_msk.wav,6.624,6.624,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
20,171825.wav,171825_augmented_spd_nse.wav,5.22,4.9401,True,1.0567,False,True,False,AugmentationType.SPEED|NOISE
21,171825.wav,171825_augmented_pch_msk.wav,5.22,5.22,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
22,843328.wav,843328_augmented_spd_nse.wav,5.58,5.3289,True,1.0471,False,True,False,AugmentationType.SPEED|NOISE
23,843328.wav,843328_augmented_pch_msk.wav,5.58,5.58,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
24,843476.wav,843476_augmented_spd_nse.wav,5.112,5.4955,True,0.9302,False,True,False,AugmentationType.SPEED|NOISE
25,843476.wav,843476_augmented_pch_msk.wav,5.112,5.112,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
26,111150.wav,111150_augmented_spd_nse.wav,5.652,5.9929,True,0.9431,False,False,False,AugmentationType.SPEED|NOISE
27,111150.wav,111150_augmented_pch_msk.wav,5.652,5.652,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
28,104443.wav,104443_augmented_spd_nse.wav,5.544,6.048,True,0.9167,False,False,False,AugmentationType.SPEED|NOISE
29,104443.wav,104443_augmented_pch_msk.wav,5.544,5.544,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
30,109517.wav,109517_augmented_spd_nse.wav,5.076,5.1921,True,0.9776,False,False,False,AugmentationType.SPEED|NOISE
31,109517.wav,109517_augmented_pch_msk.wav,5.076,5.076,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
32,529716.wav,529716_augmented_spd_nse.wav,4.104,4.461,True,0.92,False,True,False,AugmentationType.SPEED|NOISE
33,529716.wav,529716_augmented_pch_msk.wav,4.104,4.104,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
34,224727.wav,224727_augmented_spd_nse.wav,4.788,4.8466,True,0.9879,False,False,False,AugmentationType.SPEED|NOISE
35,224727.wav,224727_augmented_pch_msk.wav,4.788,4.788,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
36,296383.wav,296383_augmented_spd_nse.wav,5.832,5.5013,True,1.0601,False,True,False,AugmentationType.SPEED|NOISE
37,296383.wav,296383_augmented_pch_msk.wav,5.832,5.832,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
38,788186.wav,788186_augmented_spd_nse.wav,6.228,6.8184,True,0.9134,False,True,False,AugmentationType.SPEED|NOISE
39,788186.wav,788186_augmented_pch_msk.wav,6.228,6.228,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
40,444060.wav,444060_augmented_spd_nse.wav,5.292,4.9963,True,1.0592,False,False,False,AugmentationType.SPEED|NOISE
41,444060.wav,444060_augmented_pch_msk.wav,5.292,5.292,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
42,844505.wav,844505_augmented_spd_nse.wav,5.148,4.8041,True,1.0716,False,True,False,AugmentationType.SPEED|NOISE
43,844505.wav,844505_augmented_pch_msk.wav,5.148,5.148,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
44,383940.wav,383940_augmented_spd_nse.wav,5.976,5.8132,True,1.028,False,False,False,AugmentationType.SPEED|NOISE
45,383940.wav,383940_augmented_pch_msk.wav,5.976,5.976,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
46,143641.wav,143641_augmented_spd_nse.wav,6.732,7.0021,True,0.9614,False,True,False,AugmentationType.SPEED|NOISE
47,143641.wav,143641_augmented_pch_msk.wav,6.732,6.732,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
48,843696.wav,843696_augmented_spd_nse.wav,5.04,5.3773,True,0.9373,False,True,False,AugmentationType.SPEED|NOISE
49,843696.wav,843696_augmented_pch_msk.wav,5.04,5.04,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
50,130492.wav,130492_augmented_spd_nse.wav,5.832,5.8901,True,0.9901,False,True,False,AugmentationType.SPEED|NOISE
51,130492.wav,130492_augmented_pch_msk.wav,5.832,5.832,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
52,126041.wav,126041_augmented_spd_nse.wav,6.948,6.819,True,1.0189,False,False,False,AugmentationType.SPEED|NOISE
